Country Name,ISO,variable,Values
Argentina,ARG,Access to electricity (% of population),100
Argentina,ARG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),48.70848846
Argentina,ARG,Adjusted net national income per capita (constant 2010 US$),9110.293202
Argentina,ARG,"Air transport, passengers carried",16749271
Argentina,ARG,"Central government debt, total (% of GDP)",..
Argentina,ARG,CO2 emissions (metric tons per capita),..
Argentina,ARG,Current health expenditure per capita (current US$),1324.603516
Argentina,ARG,Domestic general government health expenditure per capita (current US$),959.4383545
Argentina,ARG,Electric power consumption (kWh per capita),..
Argentina,ARG,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",29.59199905
Argentina,ARG,Energy use (kg of oil equivalent per capita),..
Argentina,ARG,"Fertility rate, total (births per woman)",2.275
Argentina,ARG,Fixed broadband subscriptions (per 100 people),17.84999661
Argentina,ARG,GDP (constant 2010 US$),4.58254E+11
Argentina,ARG,GDP per capita (constant 2010 US$),10404.26351
Argentina,ARG,GINI index (World Bank estimate),41.2
Argentina,ARG,"International tourism, number of arrivals",6711000
Argentina,ARG,"Life expectancy at birth, total (years)",76.372
Argentina,ARG,"Population ages 65 and above, total",4840396
Argentina,ARG,Population density (people per sq. km of land area),16.09419079
Argentina,ARG,Population in largest city,14879100
Argentina,ARG,"Population, total",44044811
Argentina,ARG,"Taxes on income, profits and capital gains (% of revenue)",12.92991285
Argentina,ARG,"Tuberculosis case detection rate (%, all forms)",87
Argentina,ARG,Tuberculosis treatment success rate (% of new cases),57
Argentina,ARG,Urban population,40410674
Belgium,BEL,Access to electricity (% of population),100
Belgium,BEL,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),98.63832092
Belgium,BEL,Adjusted net national income per capita (constant 2010 US$),37822.39528
Belgium,BEL,"Air transport, passengers carried",13676844
Belgium,BEL,"Central government debt, total (% of GDP)",..
Belgium,BEL,CO2 emissions (metric tons per capita),..
Belgium,BEL,Current health expenditure per capita (current US$),4507.356445
Belgium,BEL,Domestic general government health expenditure per capita (current US$),3480.462402
Belgium,BEL,Electric power consumption (kWh per capita),..
Belgium,BEL,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",22.83300018
Belgium,BEL,Energy use (kg of oil equivalent per capita),..
Belgium,BEL,"Fertility rate, total (births per woman)",1.65
Belgium,BEL,Fixed broadband subscriptions (per 100 people),38.34561848
Belgium,BEL,GDP (constant 2010 US$),5.30995E+11
Belgium,BEL,GDP per capita (constant 2010 US$),46680.20752
Belgium,BEL,GINI index (World Bank estimate),27.4
Belgium,BEL,"International tourism, number of arrivals",8385000
Belgium,BEL,"Life expectancy at birth, total (years)",81.49268293
Belgium,BEL,"Population ages 65 and above, total",2113968
Belgium,BEL,Population density (people per sq. km of land area),375.6657199
Belgium,BEL,Population in largest city,2033713
Belgium,BEL,"Population, total",11375158
Belgium,BEL,"Taxes on income, profits and capital gains (% of revenue)",33.96097079
Belgium,BEL,"Tuberculosis case detection rate (%, all forms)",87
Belgium,BEL,Tuberculosis treatment success rate (% of new cases),79
Belgium,BEL,Urban population,11143219
Brazil,BRA,Access to electricity (% of population),100
Brazil,BRA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),70.04394531
Brazil,BRA,Adjusted net national income per capita (constant 2010 US$),9363.804986
Brazil,BRA,"Air transport, passengers carried",96395709
Brazil,BRA,"Central government debt, total (% of GDP)",..
Brazil,BRA,CO2 emissions (metric tons per capita),..
Brazil,BRA,Current health expenditure per capita (current US$),928.7993164
Brazil,BRA,Domestic general government health expenditure per capita (current US$),388.9753723
Brazil,BRA,Electric power consumption (kWh per capita),..
